Sample,inflexion,inflexion_y,NP50,big_deviant,plot_point_x,plot_point_y,label,label_hjust,Mean_residual_paralogy,SE,t_value,p_value
Cr183TAD_Crataegus-calpodendron,10.3,51.6916455180993,10.1692340100913,FALSE,10.1692340100913,51.6916455180993,NA,0,-2.33561764947824,3.39688783192651,-0.687575735508938,0.492042680404313
Cr184TAD_Crataegus-triflora,15,88.3058987924276,11.5849710971727,FALSE,11.5849710971727,88.3058987924276,NA,0,-3.87561764947824,3.39688783192651,-1.14093188861059,0.25445106463183
Cr185TAD_Crataegus-punctata,10,44.1127829296442,10.6294348687209,FALSE,10.6294348687209,44.1127829296442,NA,0,-4.93561764947824,3.39688783192651,-1.45298222775847,0.146863593226264
Cr186TAD_Crataegus-brachyacantha,7.3,36.7630728687868,8.30905055073983,FALSE,8.30905055073983,36.7630728687868,NA,1,3.69938235052176,3.39688783192651,1.08905048784719,0.276662608247759
Cr193GrAl_Crataegus-remotilobata,12.8,93.7526416892643,9.95035309820513,FALSE,9.95035309820513,93.7526416892643,NA,0,1.65938235052176,3.39688783192651,0.488500778543712,0.625411948651153
Cr195RU_Crataegus-pentagyna,11.7,69.0577421637231,9.97762527130086,FALSE,9.97762527130086,69.0577421637231,NA,0,-0.0156176494782362,3.39688783192651,-0.00459763473243058,0.996333487171774
Cr196LE_Crataegus-chlorosarca,7.8,36.148942174083,9.02420220799231,FALSE,9.02420220799231,36.148942174083,NA,1,-1.07061764947824,3.39688783192651,-0.315176038318299,0.752761088313719
Cr197LE_Crataegus-aronia,14.6,89.4444153733705,11.0285827745178,FALSE,11.0285827745178,89.4444153733705,NA,0,-4.83061764947824,3.39688783192651,-1.42207158095609,0.155636532104212
Cr202RU_Crataegus-pinnatifida,9.8,46.1166040831069,10.157738688917,FALSE,10.157738688917,46.1166040831069,NA,0,-3.18061764947824,3.39688783192651,-0.936332845490037,0.349559346844141
Cr204Bab_Crataegus-dahurica,8.5,37.3436428892806,9.42092411585191,FALSE,9.42092411585191,37.3436428892806,NA,1,-1.59061764947824,3.39688783192651,-0.468257336768206,0.63980710734905
Cr205LE_Crataegus-pycnoloba,8.4,39.8407155898222,9.32459070954512,FALSE,9.32459070954512,39.8407155898222,NA,1,-0.455617649478237,3.39688783192651,-0.134127964190044,0.893356013031741
Cr206Wiss_Crataegus-monogyna,9.1,39.273265127491,9.87695721301942,FALSE,9.87695721301942,39.273265127491,NA,1,-2.41061764947824,3.39688783192651,-0.709654768939213,0.478253065740596
Cr209Wiss_Crataegus-laevigata,8.7,39.5107134271601,9.6406875156667,FALSE,9.6406875156667,39.5107134271601,NA,1,-0.910617649478237,3.39688783192651,-0.268074100333713,0.788754180373158
Hsp222TAD_Hesperomeles-obtusifolia,7.1,33.1615401099894,8.07246237104241,FALSE,8.07246237104241,33.1615401099894,NA,1,1.99438235052176,3.39688783192651,0.587120461198941,0.557391036888334
Micr214RU_Micromeles-alnifolia,7,37.3762546432119,7.63380578962581,FALSE,7.63380578962581,37.3762546432119,NA,1,7.78938235052176,3.39688783192651,2.29309377757819,0.0222618336981841
Mlu211GrAl_Malus-sieversii,7.8,36.7998934128464,8.37183943883415,FALSE,8.37183943883415,36.7998934128464,NA,1,4.35438235052176,3.39688783192651,1.28187404647159,0.200488116841256
Mlu225ILL_Malus-ombrophila,7.2,37.347222944516,8.49110720139849,FALSE,8.49110720139849,37.347222944516,NA,1,4.11938235052176,3.39688783192651,1.21269307505673,0.225826793398457
Mlu226BIN_Malus-sylvestris,7.4,44.9967545609519,7.94212334693786,FALSE,7.94212334693786,44.9967545609519,NA,1,7.35938235052176,3.39688783192651,2.16650731924461,0.0307498648585686
Mlu238BIN_Malus-toringo,7.9,38.0274168604974,8.64705375978338,FALSE,8.64705375978338,38.0274168604974,NA,1,3.73938235052176,3.39688783192651,1.10082597234334,0.271508506202648
Pour210RU_Pourthiaea-villosa,-22.1,-672.499574689627,6.22350502988441,TRUE,1,66.925,Pour210RU_Pourthiaea-villosa,0,12.8443823505218,3.39688783192651,3.78122063077873,0.000175158879247693
Pru285BGUK_Prunus-tenella,56.2,427.498610473055,32.9306721890405,TRUE,20,9.32,Pru285BGUK_Prunus-tenella,1,-44.7606176494782,3.39688783192651,-13.1769489792345,3.42561180991383e-34
Pyr227GrAl_Pyrus-regelii,9.3,75.4278042663767,8.81487188968026,FALSE,8.81487188968026,75.4278042663767,NA,0,-0.0456176494782353,3.39688783192651,-0.0134292481045403,0.989290754009445
Pyrn229Dut_Pyracantha-coccinea,8.3,38.1809947273348,9.43964698430197,FALSE,9.43964698430197,38.1809947273348,NA,1,-3.10561764947824,3.39688783192651,-0.914253812059762,0.361029508430701
S217RU_Sorbus-aucuparia,7.6,36.5641738318585,8.36438679245606,FALSE,8.36438679245606,36.5641738318585,NA,1,2.15438235052176,3.39688783192651,0.634222399183527,0.526229264402462
S230GrAl_Sorbus-tianschanica,7.3,32.6898665787749,8.48988682593727,FALSE,8.48988682593727,32.6898665787749,NA,1,-4.46561764947824,3.39688783192651,-1.31462028492875,0.189247542486899
S232BIN_Sorbus-sambucifolia,7.5,35.3059694346239,8.46941920972766,FALSE,8.46941920972766,35.3059694346239,NA,1,0.0793823505217635,3.39688783192651,0.0233691409459177,0.981365256591373
